[2026-06-06 19:08:02.604] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 3, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.80s 
[2026-06-06 19:08:02.681] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 3, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.07s 
[2026-06-06 19:08:02.778] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 3, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.99s 
[2026-06-06 19:08:06.096] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 3, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.99s 
[2026-06-06 19:08:06.148] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 3, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:08:06.199] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 3, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.09s 
[2026-06-06 19:08:07.833] [ERROR]... × Error closing context: BrowserContext.close: Target page, context or browser has been closed 
[2026-06-06 19:14:19.608] [INIT].... → Crawl4AI 0.8.7 
[2026-06-06 19:14:24.108] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... б-р, 12, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 4.45s 
[2026-06-06 19:14:24.164] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... б-р, 12, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:14:24.217] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... б-р, 12, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 4.56s 
[2026-06-06 19:14:27.128] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... б-р, 12, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.63s 
[2026-06-06 19:14:27.181] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... б-р, 12, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:14:27.231] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... б-р, 12, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.73s 
[2026-06-06 19:14:30.330] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.83s 
[2026-06-06 19:14:30.380] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:14:30.437] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.93s 
[2026-06-06 19:14:33.574] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.85s 
[2026-06-06 19:14:33.637] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:14:33.701] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.98s 
[2026-06-06 19:14:36.823] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 23, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.85s 
[2026-06-06 19:14:36.882] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 23, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:14:36.945] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 23, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.97s 
[2026-06-06 19:14:40.045] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 23, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.82s 
[2026-06-06 19:14:40.096] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 23, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:14:40.145] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 23, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.92s 
[2026-06-06 19:14:43.227] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...Роща, 24, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.80s 
[2026-06-06 19:14:43.284] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...Роща, 24, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:14:43.335] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...Роща, 24, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.91s 
[2026-06-06 19:14:46.261] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...Роща, 24, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.65s 
[2026-06-06 19:14:46.315] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...Роща, 24, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:14:46.369] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...Роща, 24, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.76s 
[2026-06-06 19:14:49.272] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...полье, 6, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.62s 
[2026-06-06 19:14:49.321] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...полье, 6, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:14:49.372] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...полье, 6, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.73s 
[2026-06-06 19:14:52.096] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...полье, 6, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.45s 
[2026-06-06 19:14:52.147] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...полье, 6, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
